ID,Variant,Time,Scroll,Errors
0,A,57.254,1869,0
0,B,83.601,4088,0
1,A,40.779,2255,0
1,B,55.192,943,0
2,A,36.263,1538,0
2,B,49.89,7380,0
3,A,34.815,1800,0
3,B,29.359,43,0
4,A,35.801,2596,0
4,B,42.129,909,0
5,A,25.112,3672,0
5,B,29.249,3901,0
6,A,35.208,1450,0
6,B,22.796,2609,0
7,A,23.67,446,0
7,B,35.921,1788,0
8,A,42.5,334,0
8,B,48.7,1637,0
9,A,65,254,1
9,B,55.3,832,0
10,A,58.143,386,0
10,B,44.327,0,0
11,A,35.495,781,0
11,B,57.118,1269,0
